"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 15:06:59 GMT 2024","Fri Nov 22 15:06:59 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 22 15:05:40 GMT 2024","Fri Nov 22 15:06:35 GMT 2024","55230","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Fri Nov 22 15:06:35 GMT 2024","Fri Nov 22 15:06:46 GMT 2024","10354","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutBuildName","User should not be able to create build type configuration without build name",""
"passed","Fri Nov 22 15:06:46 GMT 2024","Fri Nov 22 15:06:59 GMT 2024","13021","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 22 15:04:38 GMT 2024","Fri Nov 22 15:05:27 GMT 2024","48836","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
