"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 14:06:22 GMT 2024","Fri Nov 22 14:06:22 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 22 14:03:59 GMT 2024","Fri Nov 22 14:04:53 GMT 2024","53300","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 22 14:06:02 GMT 2024","Fri Nov 22 14:06:12 GMT 2024","9946","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutBuildName","User should not be able to create build type configuration without build name",""
"passed","Fri Nov 22 14:05:06 GMT 2024","Fri Nov 22 14:06:02 GMT 2024","55849","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"failed","Fri Nov 22 14:06:13 GMT 2024","Fri Nov 22 14:06:22 GMT 2024","9037","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
