"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 09:26:27 GMT 2024","Fri Nov 22 09:26:43 GMT 2024","15659","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 22 09:25:17 GMT 2024","Fri Nov 22 09:26:16 GMT 2024","58653","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"failed","Fri Nov 22 09:26:16 GMT 2024","Fri Nov 22 09:26:27 GMT 2024","10540","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutBuildName","User should not be able to create build type configuration without build name",""
"passed","Fri Nov 22 09:26:43 GMT 2024","Fri Nov 22 09:26:43 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 22 09:24:09 GMT 2024","Fri Nov 22 09:25:05 GMT 2024","55738","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
