"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 13:46:42 GMT 2024","Fri Nov 22 13:47:36 GMT 2024","54022","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"failed","Fri Nov 22 13:47:47 GMT 2024","Fri Nov 22 13:47:55 GMT 2024","8768","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 22 13:47:37 GMT 2024","Fri Nov 22 13:47:46 GMT 2024","9394","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutBuildName","User should not be able to create build type configuration without build name",""
"passed","Fri Nov 22 13:47:56 GMT 2024","Fri Nov 22 13:47:56 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 22 13:45:35 GMT 2024","Fri Nov 22 13:46:29 GMT 2024","54641","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
